datetime_utc,demanda,programada,prevista
2019-01-30 00:00:00+0000,32939.944444444445,32976.21527777778,32976.21527777778
2019-01-31 00:00:00+0000,32884.75362318841,32896.97101449275,32896.97101449275
2019-01-31 00:00:00+0000,28746.166666666668,28832.0,28832.0
2019-02-01 00:00:00+0000,32269.5,32244.04861111111,32244.04861111111
2019-02-02 00:00:00+0000,29439.23611111111,29452.38888888889,29452.38888888889
2019-02-03 00:00:00+0000,27697.597222222223,27697.805555555555,27697.805555555555
2019-02-04 00:00:00+0000,33005.916666666664,33035.645833333336,33035.645833333336
2019-02-05 00:00:00+0000,32839.055555555555,32897.631944444445,32897.631944444445
2019-02-06 00:00:00+0000,32217.027777777777,32266.36111111111,32266.36111111111
2019-02-07 00:00:00+0000,31949.6875,31969.354166666668,31969.354166666668
2019-02-08 00:00:00+0000,31561.270833333332,31574.090277777777,31574.090277777777
2019-02-09 00:00:00+0000,28335.708333333332,28366.444444444445,28366.444444444445
2019-02-10 00:00:00+0000,26614.04861111111,26623.381944444445,26623.381944444445
2019-02-11 00:00:00+0000,30986.458333333332,31067.854166666668,31067.854166666668
2019-02-12 00:00:00+0000,31700.555555555555,31780.07638888889,31780.07638888889
2019-02-13 00:00:00+0000,31494.82638888889,31554.993055555555,31554.993055555555
2019-02-14 00:00:00+0000,31356.625,31393.895833333332,31393.895833333332
2019-02-15 00:00:00+0000,31161.472222222223,31191.17361111111,31191.17361111111
2019-02-16 00:00:00+0000,27737.5,27755.222222222223,27755.222222222223
2019-02-17 00:00:00+0000,25882.57638888889,25932.354166666668,25932.354166666668
2019-02-18 00:00:00+0000,30919.92361111111,30941.055555555555,30941.055555555555
2019-02-19 00:00:00+0000,31271.222222222223,31321.26388888889,31321.26388888889
2019-02-20 00:00:00+0000,31078.034722222223,31024.319444444445,31024.319444444445
2019-02-21 00:00:00+0000,31044.4375,31133.395833333332,31133.395833333332
2019-02-22 00:00:00+0000,30420.916666666668,30432.909722222223,30432.909722222223
2019-02-23 00:00:00+0000,27083.847222222223,27065.04861111111,27065.04861111111
2019-02-24 00:00:00+0000,25060.243055555555,25137.270833333332,25137.270833333332
2019-02-25 00:00:00+0000,29763.555555555555,29787.729166666668,29787.729166666668
2019-02-26 00:00:00+0000,30067.333333333332,30073.680555555555,30073.680555555555
2019-02-27 00:00:00+0000,29985.131944444445,30029.590277777777,30029.590277777777
2019-02-28 00:00:00+0000,29409.615942028984,29428.065217391304,29428.065217391304
2019-02-28 00:00:00+0000,26574.5,26500.166666666668,26500.166666666668
2019-03-01 00:00:00+0000,29601.631944444445,29629.708333333332,29629.708333333332
2019-03-02 00:00:00+0000,26507.972222222223,26495.416666666668,26495.416666666668
2019-03-03 00:00:00+0000,24531.67361111111,24530.833333333332,24530.833333333332
2019-03-04 00:00:00+0000,28977.944444444445,28962.63888888889,28962.63888888889
